+-----+---------------------------------------------------------+--------------------------------------------+---------------+
| id  | title                                                   | artist                                     | genre         |
|  95 | Hey Ya!                                                 | Outkast                                    | Hip-hop       |
|  96 | Like a Rolling Stone                                    | Bob Dylan                                  | Folk/Rock     |
|  97 | Billie Jean                                             | Michael Jackson                            | Pop           |
|  98 | I Want to Hold Your Hand                                | The Beatles                                | Pop           |
|  99 | Hotel California                                        | Eagles                                     | Rock          |
| 100 | Thriller                                                | Michael Jackson                            | Pop           |
| 101 | Purple Rain                                             | Prince                                     | Pop           |
| 102 | God Only Knows                                          | The Beach Boys                             | Pop           |
| 103 | Yesterday                                               | The Beatles                                | Pop           |
| 104 | No Woman, No Cry                                        | Bob Marley & The Wailers                   | Reggae        |
| 105 | Stairway to Heaven                                      | Led Zeppelin                               | Rock          |
| 106 | Hello (Lionel Richie)                                   | Lionel Richie                              | R&B           |
| 107 | Bad (Michael Jackson)                                   | Michael Jackson                            | Pop           |
| 108 | Like a Prayer                                           | Madonna                                    | Pop           |
| 109 | Remember the Time                                       | Michael Jackson                            | Pop           |
| 110 | Halo (Beyoncé)                                          | Beyoncé                                    | R&B           |
| 111 | Rolling in the Deep                                     | Adele                                      | Pop           |
| 112 | Hello (Adele)                                           | Adele                                      | Pop           |
| 113 | Toxic                                                   | Britney Spears                             | Pop           |
| 114 | Single Ladies (Put a Ring on It)                        | Beyoncé                                    | R&B           |
| 115 | WAP                                                     | Cardi B ft. Megan Thee Stallion            | Rap           |
| 116 | Juicy (Notorious B.I.G.)                                | Notorious B.I.G.                           | Rap           |
| 117 | Lose Yourself (Eminem)                                  | Eminem                                     | Rap           |
| 118 | In da Club                                              | 50 Cent                                    | Rap           |
| 119 | Hips Don?t Lie                                          | Shakira ft. Wyclef Jean                    | Pop/Latin     |
| 120 | Gasolina                                                | Daddy Yankee                               | Reggaeton     |
| 121 | Despacito                                               | Luis Fonsi ft. Daddy Yankee                | Latin/Pop     |
| 122 | Gangnam Style                                           | PSY                                        | K-pop         |
| 123 | Dynamite                                                | BTS                                        | Pop           |
| 124 | Bad Romance                                             | Lady Gaga                                  | Pop           |
| 125 | Waka Waka (This Time for Africa)                        | Shakira                                    | Pop           |
| 126 | Bailando                                                | Enrique Iglesias                           | Latin         |
| 127 | Closer (The Chainsmokers)                               | The Chainsmokers & Halsey                  | EDM           |
| 128 | One More Time                                           | Daft Punk                                  | EDM           |
| 129 | Titanium                                                | David Guetta ft. Sia                       | EDM           |
| 130 | Take My Breath Away                                     | Berlin                                     | Pop           |
| 131 | Everybody Wants to Rule the World                       | Tears for Fears                            | Pop           |
| 132 | Africa                                                  | Toto                                       | Rock          |
| 133 | Sweet Child o? Mine                                     | Guns N? Roses                              | Rock          |
| 134 | Paradise City                                           | Guns N? Roses                              | Rock          |
| 135 | Welcome to the Jungle                                   | Guns N? Roses                              | Rock          |
| 136 | Hotel California (Live)                                 | Eagles                                     | Rock          |
| 137 | Sweet Home Alabama                                      | Lynyrd Skynyrd                             | Rock          |
| 138 | I Will Always Love You                                  | Whitney Houston                            | Pop           |
| 139 | Jolene                                                  | Dolly Parton                               | Country       |
| 140 | My Heart Will Go On                                     | Celine Dion                                | Pop           |
| 141 | Like a Rolling Stone (Live)                             | Bob Dylan                                  | Folk          |
| 142 | (I Can?t Get No) Satisfaction                           | The Rolling Stones                         | Rock          |
| 143 | Gimme Shelter                                           | The Rolling Stones                         | Rock          |
| 144 | Paint It Black                                          | The Rolling Stones                         | Rock          |
| 145 | Sympathy for the Devil                                  | The Rolling Stones                         | Rock          |
| 146 | Boogie Wonderland                                       | Earth, Wind & Fire                         | Funk/Disco    |
| 147 | September                                               | Earth, Wind & Fire                         | Funk          |
| 148 | Uptown Funk                                             | Mark Ronson & Bruno Mars                   | Funk          |
| 149 | All of Me (John Legend)                                 | John Legend                                | R&B           |
| 150 | (Leave the Door Open)                                   | Silk Sonic (Bruno Mars & Anderson .Paak)   | Soul          |
| 151 | Just the Way You Are (Bruno Mars)                       | Bruno Mars                                 | Pop           |
| 152 | When Doves Cry                                          | Prince                                     | Pop           |
| 153 | Kiss (Prince)                                           | Prince                                     | Rock          |
| 154 | Thunderstruck                                           | AC/DC                                      | Rock          |
| 155 | Back in Black                                           | AC/DC                                      | Rock          |
| 156 | Bohemian Rhapsody (Live)                                | Queen                                      | Rock          |
| 157 | Another One Bites the Dust                              | Queen                                      | Rock          |
| 158 | We Will Rock You                                        | Queen                                      | Rock          |
| 159 | Don?t Stop Me Now                                       | Queen                                      | Rock          |
| 160 | Velvet Underground & Nico ? ?Sweet Jane?                | Velvet Underground                         | Rock          |
| 161 | Walk on the Wild Side                                   | Lou Reed                                   | Rock          |
| 162 | Heroes                                                  | David Bowie                                | Rock          |
| 163 | Space Oddity                                            | David Bowie                                | Rock          |
| 164 | Let It Be                                               | The Beatles                                | Pop           |
| 165 | Hey Ya! (Outkast)                                       | Outkast                                    | Hip-hop       |
| 166 | Lose Yourself (Live)                                    | Eminem                                     | Rap           |
| 167 | 21 Guns (Green Day)                                     | Green Day                                  | Rock          |
| 168 | Boulevard of Broken Dreams                              | Green Day                                  | Rock          |
| 169 | American Idiot                                          | Green Day                                  | Rock          |
| 170 | Wake Me Up When September Ends                          | Green Day                                  | Rock          |
| 171 | Boulevard of Broken Dreams                              | Green Day                                  | Rock          |
| 172 | Country Roads                                           | John Denver                                | Country       |
| 173 | Take Me Home, Country Roads                             | John Denver                                | Country       |
| 174 | Despacito (Remix)                                       | Luis Fonsi, Daddy Yankee & Justin Bieber   | Latin         |
| 175 | Procul Harum ? ?A Whiter Shade of Pale?                 | Procul Harum                               | Rock          |
| 176 | Smooth Criminal                                         | Michael Jackson                            | Pop           |
| 177 | Billie Jean (Live)                                      | Michael Jackson                            | Pop           |
| 178 | Beat It                                                 | Michael Jackson                            | Pop           |
| 179 | Thriller (Live)                                         | Michael Jackson                            | Pop           |
| 180 | Billy Jean (Sunshine Re-edit)                           | Michael Jackson                            | Pop           |
| 181 | Purple Rain (Live)                                      | Prince                                     | Pop           |
| 182 | Let?s Dance                                             | David Bowie                                | Rock          |
| 183 | Space Oddity (Live)                                     | David Bowie                                | Rock          |
| 184 | Dancing Queen                                           | ABBA                                       | Pop           |
| 185 | Mamma Mia                                               | ABBA                                       | Pop           |
| 186 | Last Christmas                                          | Wham!                                      | Pop           |
| 187 | Material Girl                                           | Madonna                                    | Pop           |
| 188 | Like a Virgin                                           | Madonna                                    | Pop           |
| 189 | Vogue (Madonna)                                         | Madonna                                    | Pop           |
| 190 | Living on a Prayer                                      | Bon Jovi                                   | Rock          |
| 191 | You Give Love a Bad Name                                | Bon Jovi                                   | Rock          |
| 192 | It?s My Life                                            | Bon Jovi                                   | Rock          |
| 193 | Bed of Roses                                            | Bon Jovi                                   | Rock          |
| 194 | Faith (George Michael)                                  | George Michael                             | Pop           |
| 195 | Careless Whisper                                        | George Michael                             | Pop           |
| 196 | Wake Me Up (Avicii)                                     | Avicii                                     | EDM           |
| 197 | Hey Brother                                             | Avicii                                     | EDM           |
| 198 | In the Air Tonight                                      | Phil Collins                               | Pop           |
| 199 | Against All Odds                                        | Phil Collins                               | Pop           |
| 200 | Another Day in Paradise                                 | Phil Collins                               | Pop           |
| 201 | Beat It (Live)                                          | Michael Jackson                            | Pop           |
| 202 | Dirty Diana                                             | Michael Jackson                            | Pop           |
| 203 | Black or White                                          | Michael Jackson                            | Pop           |
| 204 | Scream (Michael & Janet)                                | Michael Jackson & Janet Jackson            | Pop           |
| 205 | Numb (Linkin Park)                                      | Linkin Park                                | Rock          |
| 206 | In the End (Linkin Park)                                | Linkin Park                                | Rock          |
| 207 | Crawling (Linkin Park)                                  | Linkin Park                                | Rock          |
| 208 | Breaking the Habit                                      | Linkin Park                                | Rock          |
| 209 | Chop Suey!                                              | System of a Down                           | Rock          |
| 210 | Toxicity                                                | System of a Down                           | Rock          |
| 211 | Aerials                                                 | System of a Down                           | Rock          |
| 212 | Mr. Tambourine Man                                      | The Byrds                                  | Folk/Rock     |
| 213 | Mr. Tambourine Man (Dylan)                              | Bob Dylan                                  | Folk          |
| 214 | Up on Cripple Creek                                     | The Band                                   | Rock          |
| 215 | The Weight                                              | The Band                                   | Rock          |
| 216 | I Heard It Through the Grapevine                        | Marvin Gaye                                | Soul          |
| 217 | Heard It Through the Grapevine (Marvin Gaye)            | Marvin Gaye                                | Soul          |
| 218 | Mustang Sally                                           | Wilson Pickett                             | Soul          |
| 219 | Knock on Wood                                           | Eddie Floyd                                | Soul          |
| 220 | Try a Little Tenderness                                 | Otis Redding                               | Soul          |
| 221 | Sittin? On The Dock of the Bay                          | Otis Redding                               | Soul          |
| 222 | Georgia on My Mind                                      | Ray Charles                                | Soul          |
| 223 | What?s Going On (Live)                                  | Marvin Gaye                                | Soul          |
| 224 | Great Balls of Fire                                     | Jerry Lee Lewis                            | Rock and Roll |
| 225 | Blue Suede Shoes                                        | Elvis Presley                              | Rock and Roll |
| 226 | Jailhouse Rock                                          | Elvis Presley                              | Rock and Roll |
| 227 | Hound Dog                                               | Elvis Presley                              | Rock and Roll |
| 228 | Heartbreak Hotel                                        | Elvis Presley                              | Rock and Roll |
| 229 | All Shook Up                                            | Elvis Presley                              | Rock and Roll |
| 230 | Viva Las Vegas                                          | Elvis Presley                              | Rock and Roll |
| 231 | Suspicious Minds                                        | Elvis Presley                              | Rock          |
